+====================+===================+==================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                              |
+====================+===================+==================================================+
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/DataShiftOut_reg[11]/D  |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/DataShiftOut_reg[3]/D   |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/DataShiftOut_reg[0]/D   |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/Direction_reg/D         |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/CS_reg[1]/D             |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/CS_reg[2]/D             |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/CS_reg[0]/D             |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/DataShiftOut_reg[27]/D  |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/DataShiftOut_reg[25]/D  |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/DataShiftOut_reg[6]/D   |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/DataShiftOut_reg[12]/D  |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/DataShiftOut_reg[18]/D  |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/DataShiftOut_reg[8]/D   |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/DataShiftOut_reg[26]/D  |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/State_reg[2]/D          |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/DataShiftOut_reg[28]/D  |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/DataShiftOut_reg[20]/D  |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/STS_REG_reg[31]/D       |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/DataShiftOut_reg[14]/D  |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/ShiftCounter_reg[1]/D   |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/DataShiftOut_reg[16]/D  |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/DataShiftOut_reg[24]/D  |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/DataShiftOut_reg[31]/D  |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/DataShiftOut_reg[22]/D  |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/State_reg[1]/D          |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/DataShiftOut_reg[7]/D   |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/DataShiftOut_reg[20]/CE |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/DataShiftOut_reg[16]/CE |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/DataShiftOut_reg[9]/D   |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/DataShiftOut_reg[19]/D  |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/DataShiftOut_reg[13]/D  |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/DataShiftOut_reg[17]/D  |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/DataShiftOut_reg[15]/D  |
| clk_fpga_0         | clk_fpga_0        | design_1_i/QSPI_top_0/U0/DataShiftOut_reg[21]/D  |
